id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
tm52402,City Lights,MOVIE,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",1931,G,87,"['romance', 'drama', 'comedy']",tt0021749,8.5
tm118404,Modern Times,MOVIE,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,G,87,"['drama', 'comedy', 'romance', 'family']",tt0027977,8.5
ts2024,Entourage,SHOW,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,2004,TV-MA,28,"['drama', 'comedy']",tt0387199,8.5
ts17808,The Boondocks,SHOW,"When Robert “Granddad” Freeman becomes legal guardian to his two grandsons, he moves from the tough south side of Chicago to the upscale neighborhood of Woodcrest (a.k.a. ""The Boondocks"") so he can enjoy his golden years in safety and comfort. But with Huey, a 10-year-old leftist revolutionary, and his eight-year-old misfit brother, Riley, suburbia is about to be shaken up.",2005,TV-MA,22,"['action', 'comedy', 'drama', 'animation']",tt0373732,8.5
ts77242,Butterfly Effect,SHOW,"Our History is no more than a series of incredible events. From the birth of a thousand-year-old empire to the death of a flourishing civilization, from the creative genius of a handful of men to a worldwide cultural revolution, the most infinitesimal of our decisions can influence the future of humanity. Every episode guides us to revisit a key event, a crossroads in our History where the world swings one way or the other. With spectacular reconstructions created by 3D modeling specialists, every story is told in sequences, which gives new perspective for today.",2016,,25,"['documentation', 'animation', 'family', 'history']",tt3790428,8.5
ts21884,John Adams,SHOW,"Adapted from David McCullough's Pulitzer Prize-winning biography, this lavish seven-part miniseries chronicles the life of Founding Father John Adams, starting with the Boston Massacre of 1770 through his years as an ambassador in Europe, then his terms as vice president and president of the United States, up to his death on July 4, 1826.",2008,TV-14,70,"['drama', 'history']",tt0472956,8.5
ts76135,Harley Quinn,SHOW,Harley Quinn has finally broken things off once and for all with the Joker and attempts to make it on her own as the criminal Queenpin of Gotham City.,2019,TV-MA,23,"['scifi', 'comedy', 'crime', 'fantasy', 'animation', 'action']",tt7658402,8.5
ts288175,Smiling Friends,SHOW,"Smiling Friends Inc. is a small company whose main purpose is to bring happiness and make people smile. The series follows the day-to-day lives and misadventures of its representatives, the lazy, cynical Charlie, and the cheerful, optimistic Pim, as they try to cheer up and comfort the troubled people who call their company's hotline. They receive seemingly simple requests but the jobs turn out to be more complicated than they seem, making it difficult to bring happiness to the world.",2020,TV-MA,12,"['comedy', 'animation']",tt12074628,8.5
tm132370,Whoopi Goldberg: Direct from Broadway,MOVIE,Whoopi Goldberg in her original one-woman show,1985,,75,"['comedy', 'documentation']",tt0457207,8.5
ts21302,Person of Interest,SHOW,"John Reese, former CIA paramilitary operative, is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch's genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars. ",2011,TV-14,44,"['scifi', 'thriller', 'action', 'crime', 'drama']",tt1839578,8.5
