id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
tm220317,Demetri Martin: Live (At The Time),MOVIE,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word ""nope"" to Washington in his original special.",2015,,61,"['comedy', 'documentation']",tt4512714,7.4
ts89251,Tales of the City,SHOW,"Mary Ann returns to present-day San Francisco and is reunited with her daughter and ex-husband, twenty years after leaving them behind to pursue her career.  Fleeing the midlife crisis that her picture-perfect Connecticut life created, Mary Ann is quickly drawn back into the orbit of Anna Madrigal, her chosen family and a new generation of queer young residents living at 28 Barbary Lane.",2019,TV-MA,56,['drama'],tt7087260,7.4
tm840224,Seth Meyers: Lobby Baby,MOVIE,SNL alumnus and subversive master of late-night Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,2019,,61,['comedy'],tt11168100,7.4
ts262037,Bread Barbershop,SHOW,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",2020,TV-Y,11,['animation'],tt12912830,7.4
ts80856,Chilling Adventures of Sabrina,SHOW,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",2018,TV-14,57,"['thriller', 'scifi', 'drama', 'fantasy', 'horror']",tt7569592,7.4
tm157283,Güeros,MOVIE,"Set amidst the 1999 student strikes in Mexico City, this coming-of-age tale finds two brothers venturing through the city in a sentimental search for an aging legendary musician. Shot in black-and-white, Güeros brims with youthful exuberance.",2015,,106,"['drama', 'comedy']",tt3499048,7.4
ts44663,Oscar's Oasis,SHOW,"Follows the sun-baked adventures of Oscar, a lizard in the middle of the desert finding himself misadventures wherever he goes, from finding water to fleeing from a band of misfits.",2010,TV-Y,9,"['animation', 'comedy', 'european']",tt2080922,7.4
ts225716,Family Business,SHOW,"After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.",2019,TV-MA,33,"['comedy', 'family']",tt10423460,7.4
tm244513,Divines,MOVIE,"In a ghetto where religion and drug trafficking rub shoulders, Dounia has a lust for power and success. Supported by Maimouna, her best friend, she decides to follow in the footsteps of Rebecca, a respected dealer. But her encounter with Djigui, a young, disturbingly sensual dancer, throws her off course.",2016,,105,"['drama', 'crime', 'european']",tt4730986,7.4
tm300615,Mudbound,MOVIE,"In the post–World War II South, two families are pitted against a barbaric social hierarchy and an unrelenting landscape as they simultaneously fight the battle at home and the battle abroad.",2017,R,135,"['drama', 'war']",tt2396589,7.4
